"","nuts","cookie.type","length","width","red.icing","blue.icing","topping.1","topping.2","longitude","latitude","Owner","Address","PrimeType","SecondType","GarOrLot","RegCap","ValetCap","MCCap","LANDUSETYP"
"603",FALSE,"cookie.cake",3.6,1,FALSE,FALSE,"cherry",NA,-122.474217,37.729387,"Private","3250 19th Ave","PHO"," ","L",36,0,0," "
"790",FALSE,"cookie.cake",3.7,1,FALSE,FALSE,"cherry",NA,-122.416603,37.76059,"Private","3254 19th St","PHO"," ","L",40,0,0," "
"1008",FALSE,"cookie.cake",5.1,1,FALSE,FALSE,"Reese's Piece",NA,-122.482646,37.713946,"Private","999 Brotherhood Way","CPO"," ","L",160,0,0,"religious"
"924",FALSE,"cookie.cake",2.6,1,FALSE,FALSE,"Reese's Piece",NA,-122.406649,37.713043,"Private","701 Rutland St","CPO"," ","L",14,0,0,"religious"
"506",FALSE,"cookie.cake",5.5,1,FALSE,FALSE,"Oreo",NA,-122.393815,37.748669,"Private","1460 Marin St","CGO"," ","L",240,0,0," "
"468",FALSE,"brownie",4.6,1,FALSE,FALSE,"jam",NA,-122.417104,37.785946,"Private","855 GEARY ST","PPA"," ","G",100,0,0," "
"1016",FALSE,"cookie.cake",2.6,1,FALSE,FALSE,"Reese's Piece",NA,-122.403997,37.728346,"Private","2626 San Bruno Ave","CPO"," ","L",14,0,0,"restaurant"
"695",FALSE,"brownie",4.2,1,FALSE,FALSE,"cherry",NA,-122.424618,37.785531,"Private","1 Peter York Way","PHO"," ","G",70,0,0," "
"1162",FALSE,"cookie.cake",2.7,1,FALSE,FALSE,"Reese's Piece",NA,-122.401777,37.76594,"Private","300 Deharo St","CPO"," ","L",15,0,0,"restaurant"
"1027",FALSE,"cookie.cake",2.1,1,FALSE,FALSE,"Reese's Piece",NA,-122.386212,37.741717,"Private","401 Newhall St","CPO"," ","L",8,0,0,"office"
"1294",FALSE,"cookie.cake",3.7,1,FALSE,FALSE,"Reese's Piece",NA,-122.393234,37.754777,"Private","902 Pennsylvania St","CPO"," ","L",40,0,0," "
"1123",FALSE,"cookie.cake",2.8,1,FALSE,FALSE,"Reese's Piece",NA,-122.416796,37.762619,"Private","659 South Van Ness","CPO"," ","L",16,0,0,"retail"
"1126",FALSE,"cookie.cake",2.5,1,FALSE,FALSE,"Reese's Piece",NA,-122.434808,37.763116,"Private","2390 Market St","CPO"," ","L",12,0,0,"retail"
"374",TRUE,"brownie",6.6,1,FALSE,FALSE,"jam",NA,-122.404358,37.791952,"SFMTA","433 Kearny Street","PPA"," ","G",700,0,0," "
"251",FALSE,"cookie.cake",4,1,FALSE,FALSE,"jam",NA,-122.405187,37.778559,"Private","301 06TH ST","PPA"," ","L",54,0,0," "
